,date_start,year,no_of_events
437,2004-09-01,10020,5
438,2004-09-04,4008,2
439,2004-09-05,2004,1
440,2004-09-06,2004,1
441,2004-09-07,2004,1
442,2004-09-08,4008,2
443,2004-09-09,2004,1
444,2004-09-10,2004,1
445,2004-09-12,6012,3
446,2004-09-13,2004,1
447,2004-09-14,6012,3
448,2004-09-17,6012,3
449,2004-09-18,8016,4
450,2004-09-19,2004,1
451,2004-09-20,2004,1
452,2004-09-21,4008,2
453,2004-09-22,6012,3
454,2004-09-23,2004,1
455,2004-09-25,4008,2
456,2004-09-27,4008,2
457,2004-09-28,4008,2
458,2004-09-29,4008,2
459,2004-09-30,8016,4
460,2004-10-01,2004,1
461,2004-10-02,4008,2
462,2004-10-03,4008,2
463,2004-10-04,2004,1
464,2004-10-05,2004,1
465,2004-10-06,4008,2
466,2004-10-07,2004,1
467,2004-10-08,4008,2
468,2004-10-10,4008,2
469,2004-10-11,6012,3
470,2004-10-12,4008,2
471,2004-10-13,4008,2
472,2004-10-14,12024,6
473,2004-10-15,2004,1
474,2004-10-16,4008,2
475,2004-10-17,6012,3
476,2004-10-18,6012,3
477,2004-10-20,2004,1
478,2004-10-22,2004,1
479,2004-10-23,8016,4
480,2004-10-24,4008,2
481,2004-10-25,2004,1
482,2004-10-26,4008,2
483,2004-10-27,2004,1
484,2004-10-28,2004,1
485,2004-10-29,6012,3
486,2004-10-30,2004,1
487,2004-11-01,2004,1
488,2004-11-02,2004,1
489,2004-11-03,2004,1
490,2004-11-04,2004,1
491,2004-11-06,6012,3
492,2004-11-07,8016,4
493,2004-11-08,4008,2
494,2004-11-09,8016,4
495,2004-11-10,2004,1
496,2004-11-11,6012,3
497,2004-11-12,2004,1
498,2004-11-14,4008,2
499,2004-11-16,4008,2
500,2004-11-18,10020,5
501,2004-11-20,6012,3
502,2004-11-21,2004,1
503,2004-11-22,6012,3
504,2004-11-25,4008,2
505,2004-11-26,4008,2
506,2004-11-27,2004,1
507,2004-12-01,4008,2
508,2004-12-02,2004,1
509,2004-12-03,2004,1
510,2004-12-04,6012,3
511,2004-12-13,2004,1
512,2004-12-14,4008,2
513,2004-12-15,2004,1
514,2004-12-18,2004,1
515,2004-12-20,2004,1
516,2004-12-21,2004,1
517,2004-12-23,2004,1
518,2004-12-29,4008,2
519,2004-12-31,2004,1
520,2005-01-01,2005,1
