,date_start,year,no_of_events
372,2000-05-04,2000,1
373,2000-05-11,2000,1
374,2000-05-19,2000,1
375,2000-05-20,2000,1
376,2000-05-27,2000,1
377,2000-05-29,2000,1
378,2000-06-06,2000,1
379,2000-06-10,2000,1
380,2000-06-14,2000,1
381,2000-06-21,2000,1
382,2000-06-22,2000,1
383,2000-07-04,2000,1
384,2000-07-05,2000,1
385,2000-07-09,2000,1
386,2000-07-20,2000,1
387,2000-07-23,2000,1
388,2000-07-29,2000,1
389,2000-07-30,2000,1
390,2000-07-31,2000,1
391,2000-08-05,2000,1
392,2000-08-06,2000,1
393,2000-08-08,2000,1
394,2000-08-09,2000,1
395,2000-08-11,2000,1
396,2000-08-13,2000,1
397,2000-08-14,2000,1
398,2000-08-15,2000,1
399,2000-08-17,2000,1
400,2000-08-18,2000,1
401,2000-08-19,2000,1
402,2000-08-21,2000,1
403,2000-08-22,2000,1
404,2000-08-28,2000,1
405,2000-08-29,2000,1
406,2000-08-30,2000,1
407,2000-09-06,2000,1
408,2000-09-07,2000,1
409,2000-09-08,2000,1
410,2000-09-11,2000,1
411,2000-09-16,2000,1
412,2000-09-23,2000,1
413,2000-09-24,2000,1
414,2000-09-29,2000,1
415,2000-09-30,2000,1
416,2000-10-02,2000,1
417,2000-10-03,2000,1
418,2000-10-04,2000,1
419,2000-10-10,2000,1
420,2000-10-11,2000,1
421,2000-10-13,2000,1
422,2000-10-18,2000,1
423,2000-10-19,2000,1
424,2000-10-21,2000,1
425,2000-10-27,2000,1
426,2000-11-13,2000,1
427,2000-11-16,2000,1
428,2000-11-20,2000,1
429,2000-11-21,2000,1
430,2000-11-22,2000,1
431,2000-11-29,2000,1
432,2000-12-03,2000,1
433,2000-12-05,2000,1
434,2000-12-09,2000,1
435,2000-12-28,2000,1
436,2001-01-01,2001,1
437,2001-01-05,2001,1
438,2001-01-09,2001,1
439,2001-01-18,2001,1
440,2001-01-24,2001,1
441,2001-02-23,2001,1
442,2001-03-02,2001,1
443,2001-04-07,2001,1
444,2001-04-21,2001,1
445,2001-04-27,2001,1
446,2001-04-29,2001,1
447,2001-04-30,2001,1
448,2001-05-06,2001,1
449,2001-05-09,2001,1
450,2001-05-17,2001,1
451,2001-05-23,2001,1
452,2001-06-13,2001,1
453,2001-06-14,2001,1
454,2001-06-19,2001,1
455,2001-06-24,2001,1
456,2001-06-25,2001,1
457,2001-06-29,2001,1
458,2001-07-02,2001,1
459,2001-07-05,2001,1
460,2001-07-06,2001,1
461,2001-07-07,2001,1
462,2001-07-11,2001,1
463,2001-07-25,2001,1
464,2001-07-26,2001,1
465,2001-08-04,2001,1
466,2001-08-11,2001,1
467,2001-08-19,2001,1
468,2001-08-20,2001,1
469,2001-09-05,2001,1
470,2001-09-07,2001,1
471,2001-09-18,2001,1
472,2001-09-23,2001,1
473,2001-09-27,2001,1
474,2001-10-08,2001,1
475,2001-10-11,2001,1
476,2001-10-13,2001,1
477,2001-10-14,2001,1
478,2001-10-16,2001,1
479,2001-10-29,2001,1
480,2001-11-03,2001,1
481,2001-11-13,2001,1
482,2001-11-15,2001,1
483,2001-11-18,2001,1
484,2001-11-23,2001,1
485,2001-11-26,2001,1
486,2001-11-30,2001,1
487,2001-12-04,2001,1
488,2001-12-06,2001,1
489,2001-12-07,2001,1
490,2001-12-14,2001,1
491,2001-12-15,2001,1
492,2001-12-16,2001,1
493,2001-12-20,2001,1
