,iyear,imonth,iday,country_txt,index,country,region,latitude,longitude,nperps,guncertain1,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propvalue,ransompaidus,no_of_events,date
125,2014,7,2,Ukraine,111517,1070,45,240.889317,195.55256,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-27,0.0,0.0,5,2014-07-02
126,2014,7,3,Ukraine,89290,856,36,192.839743,152.953435,0.0,0.0,5.0,0.0,0.0,11.0,0.0,0.0,3,0.0,0.0,4,2014-07-03
127,2014,7,4,Ukraine,44691,428,18,95.424923,69.227743,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,0.0,0.0,2,2014-07-04
128,2014,7,5,Ukraine,156652,1498,63,336.357521,268.4878,30.0,0.0,10.0,0.0,0.0,24.0,0.0,0.0,-34,0.0,0.0,7,2014-07-05
129,2014,7,7,Ukraine,268911,2568,108,581.406398,457.10443699999996,15.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,-30,0.0,0.0,12,2014-07-07
130,2014,7,8,Ukraine,336500,3210,135,723.345472,571.7497770000001,30.0,0.0,2.0,0.0,0.0,9.0,0.0,0.0,-24,0.0,0.0,15,2014-07-08
131,2014,7,9,Ukraine,269483,2568,108,531.661152,427.32508899999993,0.0,0.0,5.0,0.0,0.0,21.0,0.0,0.0,-12,0.0,0.0,12,2014-07-09
132,2014,7,10,Ukraine,225092,2140,90,485.012598,384.987335,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,-9,0.0,0.0,10,2014-07-10
133,2014,7,11,Ukraine,202606,1926,81,435.402332,354.123092,0.0,0.0,36.0,0.0,0.0,107.0,0.0,0.0,8,0.0,0.0,9,2014-07-11
134,2014,7,12,Ukraine,157835,1498,63,339.212954,271.351228,0.0,0.0,4.0,0.0,0.0,26.0,0.0,0.0,-35,0.0,0.0,7,2014-07-12
135,2014,7,13,Ukraine,67730,642,27,141.248863,101.36334500000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7,0.0,0.0,3,2014-07-13
136,2014,7,14,Ukraine,67766,642,27,145.640268,115.12615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,3,2014-07-14
