,date_start,year,no_of_events
313,2016-04-06,2016,1
314,2016-04-09,2016,1
315,2016-04-12,2016,1
316,2016-04-14,2016,1
317,2016-04-19,2016,1
318,2016-04-23,6048,3
319,2016-04-27,2016,1
320,2016-04-29,4032,2
321,2016-04-30,4032,2
322,2016-05-06,2016,1
323,2016-05-15,2016,1
324,2016-05-16,2016,1
325,2016-05-18,6048,3
326,2016-05-21,4032,2
327,2016-05-23,4032,2
328,2016-05-26,2016,1
329,2016-05-28,4032,2
330,2016-05-29,4032,2
331,2016-05-30,2016,1
332,2016-06-04,2016,1
333,2016-06-08,4032,2
334,2016-06-11,2016,1
335,2016-06-17,2016,1
336,2016-06-18,6048,3
337,2016-06-24,2016,1
338,2016-06-27,2016,1
339,2016-06-28,2016,1
340,2016-06-29,2016,1
341,2016-07-01,2016,1
342,2016-07-04,2016,1
343,2016-07-09,2016,1
344,2016-07-10,4032,2
345,2016-07-14,4032,2
346,2016-07-15,2016,1
347,2016-07-18,4032,2
348,2016-07-23,2016,1
349,2016-07-24,4032,2
350,2016-07-27,2016,1
351,2016-08-01,2016,1
352,2016-08-02,2016,1
353,2016-08-03,2016,1
354,2016-08-06,2016,1
355,2016-08-07,2016,1
356,2016-08-08,2016,1
357,2016-08-11,2016,1
358,2016-08-18,2016,1
359,2016-08-21,2016,1
360,2016-08-24,2016,1
361,2016-08-27,4032,2
362,2016-09-07,2016,1
363,2016-09-08,2016,1
364,2016-09-12,6048,3
365,2016-09-14,2016,1
366,2016-10-01,2016,1
367,2016-10-02,2016,1
368,2016-10-04,2016,1
369,2016-10-05,2016,1
370,2016-10-08,2016,1
371,2016-10-11,2016,1
372,2016-10-12,2016,1
373,2016-10-16,2016,1
374,2016-10-17,2016,1
375,2016-10-18,2016,1
376,2016-10-20,2016,1
377,2016-10-21,2016,1
378,2016-10-27,6048,3
379,2016-10-28,2016,1
380,2016-11-06,2016,1
381,2016-11-18,2016,1
382,2016-11-19,2016,1
383,2016-11-25,2016,1
384,2016-11-26,2016,1
385,2016-11-28,2016,1
386,2016-12-18,2016,1
387,2016-12-28,2016,1
388,2017-01-01,2017,1
389,2017-01-10,2017,1
390,2017-01-14,2017,1
391,2017-01-15,2017,1
392,2017-01-24,2017,1
393,2017-01-25,2017,1
394,2017-01-26,4034,2
395,2017-01-29,6051,3
396,2017-01-30,8068,4
397,2017-01-31,4034,2
398,2017-02-01,2017,1
399,2017-02-02,4034,2
400,2017-02-03,6051,3
401,2017-02-05,2017,1
402,2017-02-10,2017,1
403,2017-02-12,2017,1
404,2017-02-13,2017,1
405,2017-02-14,2017,1
406,2017-02-15,2017,1
407,2017-02-16,4034,2
408,2017-02-19,2017,1
409,2017-02-24,2017,1
410,2017-02-28,2017,1
411,2017-03-03,2017,1
412,2017-03-06,2017,1
413,2017-03-10,4034,2
414,2017-03-11,2017,1
415,2017-03-14,2017,1
416,2017-03-15,2017,1
417,2017-03-16,2017,1
418,2017-03-17,2017,1
419,2017-03-20,4034,2
420,2017-03-24,2017,1
421,2017-03-26,4034,2
422,2017-03-27,2017,1
423,2017-03-30,6051,3
424,2017-03-31,4034,2
425,2017-04-03,4034,2
426,2017-04-04,2017,1
427,2017-04-08,2017,1
428,2017-04-09,2017,1
429,2017-04-11,2017,1
430,2017-04-12,2017,1
431,2017-04-13,2017,1
432,2017-04-14,2017,1
433,2017-04-21,4034,2
434,2017-04-23,6051,3
435,2017-04-25,2017,1
436,2017-04-26,2017,1
437,2017-04-27,2017,1
438,2017-04-28,6051,3
439,2017-04-29,6051,3
440,2017-05-02,2017,1
441,2017-05-05,2017,1
442,2017-05-07,2017,1
443,2017-05-09,2017,1
444,2017-05-12,2017,1
445,2017-05-13,2017,1
446,2017-05-14,2017,1
447,2017-05-16,4034,2
448,2017-05-20,2017,1
449,2017-06-02,2017,1
450,2017-06-04,2017,1
451,2017-06-07,6051,3
452,2017-06-09,2017,1
453,2017-06-10,4034,2
454,2017-06-12,2017,1
455,2017-06-13,2017,1
456,2017-06-16,2017,1
457,2017-06-17,2017,1
458,2017-06-18,2017,1
459,2017-06-24,2017,1
460,2017-06-28,2017,1
461,2017-06-30,2017,1
462,2017-07-14,4034,2
463,2017-07-17,2017,1
464,2017-07-19,8068,4
465,2017-07-21,2017,1
466,2017-07-23,2017,1
467,2017-07-24,6051,3
468,2017-07-27,2017,1
469,2017-07-28,2017,1
470,2017-07-29,2017,1
471,2017-07-31,2017,1
472,2017-08-01,2017,1
473,2017-08-05,2017,1
474,2017-08-07,4034,2
475,2017-08-10,4034,2
476,2017-08-11,4034,2
477,2017-08-12,4034,2
478,2017-08-15,2017,1
479,2017-08-16,6051,3
480,2017-08-20,4034,2
481,2017-08-26,2017,1
482,2017-08-30,2017,1
483,2017-09-01,2017,1
484,2017-09-02,2017,1
485,2017-09-06,2017,1
486,2017-09-07,2017,1
487,2017-09-09,2017,1
488,2017-09-14,2017,1
489,2017-09-30,2017,1
490,2017-10-07,2017,1
491,2017-10-08,2017,1
492,2017-10-14,2017,1
493,2017-10-21,2017,1
494,2017-10-24,4034,2
495,2017-10-25,2017,1
496,2017-10-27,2017,1
497,2017-10-28,4034,2
498,2017-10-30,2017,1
